event_id,resolution,estimator,baseline,peak,peak_ratio,n_bars_win
cr-2014-mtgox,day,amihud_illiq,0.0,0.0,1713.623,43
cr-2014-mtgox,day,corwin_schultz_bps,145.627906,2877.404081,19.759,43
cr-2014-mtgox,day,roll_bps,305.133271,2750.61818,9.014,43
cr-2017-btctop,minute,amihud_illiq,0.0,0.00029,8065.453,107094
cr-2017-btctop,minute,corwin_schultz_bps,0.000181,346.583019,1912566.668,107131
cr-2017-btctop,minute,roll_bps,16.566064,114.47146,6.91,107131
cr-2019-tether,minute,amihud_illiq,0.0,0.0,27.156,63361
cr-2019-tether,minute,corwin_schultz_bps,1.713512,140.246172,81.847,63361
cr-2019-tether,minute,roll_bps,1.951489,68.067517,34.88,63361
cr-2020-covid,minute,amihud_illiq,0.0,0.0,117.546,79073
cr-2020-covid,minute,corwin_schultz_bps,1.2816,709.225743,553.391,79073
cr-2020-covid,minute,roll_bps,2.490777,211.866807,85.061,79073
cr-2021-elonchina,minute,amihud_illiq,0.0,0.0,18.295,87407
cr-2021-elonchina,minute,corwin_schultz_bps,1.276422,537.746687,421.292,87407
cr-2021-elonchina,minute,roll_bps,3.618255,72.319153,19.987,87407
cr-2022-celsius,minute,amihud_illiq,0.0,0.0,17.941,63361
cr-2022-celsius,minute,corwin_schultz_bps,0.336724,222.153635,659.75,63361
cr-2022-celsius,minute,roll_bps,2.084091,41.13091,19.736,63361
cr-2022-ftx,minute,amihud_illiq,0.0,0.0,15.43,41761
cr-2022-ftx,minute,corwin_schultz_bps,1.174825,219.579973,186.904,41761
cr-2022-ftx,minute,roll_bps,0.921691,92.797501,100.682,41761
cr-2022-luna,minute,amihud_illiq,0.0,1e-06,273.775,17320
cr-2022-luna,minute,corwin_schultz_bps,1.095621,4000.0,3650.897,17320
cr-2022-luna,minute,roll_bps,2.319783,1404.710821,605.536,17320
cr-2023-curve,minute,amihud_illiq,0.0,0.000173,557.062,19303
cr-2023-curve,minute,corwin_schultz_bps,12.322859,258.247285,20.957,23041
cr-2023-curve,minute,roll_bps,5.834923,65.558824,11.236,23041
cr-2024-etf,minute,amihud_illiq,0.0,0.0,15.084,129601
cr-2024-etf,minute,corwin_schultz_bps,4e-06,135.82633,38492887.321,129601
cr-2024-etf,minute,roll_bps,2.6955,54.914733,20.373,129601
eq-1987-blackmon,day,amihud_illiq,0.0,0.0,15.372,32
eq-1987-blackmon,day,corwin_schultz_bps,62.388164,455.344466,7.299,32
eq-1987-blackmon,day,roll_bps,67.640938,314.908944,4.656,32
eq-2008-lehman,day,amihud_illiq,0.0,0.0,8.985,44
eq-2008-lehman,day,corwin_schultz_bps,5.019906,399.606767,79.604,44
eq-2008-lehman,day,roll_bps,101.969626,470.970616,4.619,44
eq-2010-flashcrash,day,amihud_illiq,0.0,0.0,5.509,14
eq-2010-flashcrash,day,corwin_schultz_bps,53.23017,172.17784,3.235,14
eq-2010-flashcrash,day,roll_bps,31.588302,145.606895,4.61,14
eq-2011-downgrade,day,amihud_illiq,0.0,0.0,16.259,28
eq-2011-downgrade,day,corwin_schultz_bps,8.682322,377.260693,43.452,28
eq-2015-chinadev,day,amihud_illiq,0.0,0.0,7.487,18
eq-2015-chinadev,day,corwin_schultz_bps,51.084212,369.350718,7.23,18
eq-2015-chinadev,day,roll_bps,8.942836,9.509626,1.063,18
eq-2018-volmageddon,day,corwin_schultz_bps,144.902639,1609.467903,11.107,18
eq-2018-volmageddon,day,roll_bps,339.127028,1127.460458,3.325,18
eq-2020-covid,day,amihud_illiq,0.0,0.0,20.595,39
eq-2020-covid,day,corwin_schultz_bps,32.487936,635.058209,19.548,39
eq-2020-covid,day,roll_bps,75.561838,916.586199,12.13,39
eq-2022-ukraine,day,amihud_illiq,0.0,0.0,4.157,18
eq-2022-ukraine,day,corwin_schultz_bps,102.105574,296.444338,2.903,18
eq-2023-svb,day,amihud_illiq,0.0,0.0,1.79,18
eq-2023-svb,day,corwin_schultz_bps,25.338281,375.728476,14.828,18
eq-2023-svb,day,roll_bps,125.830107,308.997368,2.456,18
eq-2024-yencarry,day,amihud_illiq,0.0,0.0,8.705,12
eq-2024-yencarry,day,corwin_schultz_bps,56.765967,627.395043,11.052,12
eq-2024-yencarry,day,roll_bps,80.713965,339.576424,4.207,12
fx-2008-goldflight,day,amihud_illiq,0.0,1.4e-05,128.16,63
fx-2008-goldflight,day,corwin_schultz_bps,0.677109,377.11913,556.955,63
fx-2008-goldflight,day,roll_bps,90.117252,268.447266,2.979,63
fx-2013-goldcrash,minute,amihud_illiq,0.0,0.0,142.072,13315
fx-2013-goldcrash,minute,corwin_schultz_bps,0.111342,42.960107,385.841,13315
fx-2013-goldcrash,minute,roll_bps,0.639619,27.07354,42.328,13315
fx-2015-snb,minute,amihud_illiq,1e-06,0.020921,30174.892,13989
fx-2015-snb,minute,corwin_schultz_bps,0.065225,430.466017,6599.75,13989
fx-2015-snb,minute,roll_bps,0.130297,362.692484,2783.585,13989
fx-2016-brexit,minute,amihud_illiq,1e-06,0.000121,124.019,18595
fx-2016-brexit,minute,corwin_schultz_bps,0.043679,58.254143,1333.694,18595
fx-2016-brexit,minute,roll_bps,0.376251,45.078421,119.809,18595
fx-2019-jpyflash,minute,amihud_illiq,0.0,8e-06,947.278,11386
fx-2019-jpyflash,minute,corwin_schultz_bps,0.057825,51.594022,892.245,11386
fx-2019-jpyflash,minute,roll_bps,0.312556,12.205311,39.05,11386
fx-2020-wti,day,amihud_illiq,0.0,0.0,17.57,20
fx-2020-wti,day,corwin_schultz_bps,687.559867,860.455355,1.251,20
fx-2020-wti,day,roll_bps,1376.265136,1732.563066,1.259,20
fx-2022-ldi,minute,amihud_illiq,1e-06,0.000399,481.506,26871
fx-2022-ldi,minute,corwin_schultz_bps,0.105281,81.439849,773.548,26871
fx-2022-ldi,minute,roll_bps,0.535572,19.003851,35.483,26871
